GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,APP001,APP002,APP003,APP004
"G0500110","1880","Arkansas","050","Bradley","0110","Bradley",4075,2210,0,0
"G0500130","1880","Arkansas","050","Calhoun","0130","Calhoun",3583,2088,0,0
"G0500150","1880","Arkansas","050","Carroll","0150","Carroll",13272,60,0,5
"G0500170","1880","Arkansas","050","Chicot","0170","Chicot",1563,8495,59,0
"G0500190","1880","Arkansas","050","Clark","0190","Clark",10567,5203,0,1
"G0500210","1880","Arkansas","050","Clay","0210","Clay",7191,22,0,0
"G0500270","1880","Arkansas","050","Columbia","0270","Columbia",8587,5503,0,0
"G0500290","1880","Arkansas","050","Conway","0290","Conway",9546,3206,0,3
"G0500310","1880","Arkansas","050","Craighead","0310","Craighead",6776,261,0,0
"G0500330","1880","Arkansas","050","Crawford","0330","Crawford",13332,1392,0,16
"G0500350","1880","Arkansas","050","Crittenden","0350","Crittenden",1899,7516,0,0
"G0500370","1880","Arkansas","050","Cross","0370","Cross",3261,1789,0,0
"G0500390","1880","Arkansas","050","Dallas","0390","Dallas",4299,2206,0,0
"G0500410","1880","Arkansas","050","Desha","0410","Desha",2452,6514,0,7
"G0500415","1880","Arkansas","050","Dorsey","0415","Dorsey",6041,2329,0,0
"G0500430","1880","Arkansas","050","Drew","0430","Drew",6472,5759,0,0
"G0500450","1880","Arkansas","050","Faulkner","0450","Faulkner",11368,1418,0,0
"G0500470","1880","Arkansas","050","Franklin","0470","Franklin",14455,493,0,3
"G0500490","1880","Arkansas","050","Fulton","0490","Fulton",6684,36,0,0
"G0500510","1880","Arkansas","050","Garland","0510","Garland",7457,1562,4,0
"G0500530","1880","Arkansas","050","Grant","0530","Grant",5629,556,0,0
"G0500550","1880","Arkansas","050","Greene","0550","Greene",7405,75,0,0
"G0500570","1880","Arkansas","050","Hempstead","0570","Hempstead",9593,9421,0,1
"G0500590","1880","Arkansas","050","Hot Spring","0590","Hot Spring",7030,745,0,0
"G0500610","1880","Arkansas","050","Howard","0610","Howard",7409,2508,0,0
"G0500630","1880","Arkansas","050","Independence","0630","Independence",16703,1382,0,1
"G0500650","1880","Arkansas","050","Izard","0650","Izard",10635,222,0,0
"G0500670","1880","Arkansas","050","Jackson","0670","Jackson",8113,2763,1,0
"G0500690","1880","Arkansas","050","Jefferson","0690","Jefferson",5331,17011,43,1
"G0500710","1880","Arkansas","050","Johnson","0710","Johnson",11073,491,0,1
"G0500730","1880","Arkansas","050","Lafayette","0730","Lafayette",2116,3614,0,0
"G0500750","1880","Arkansas","050","Lawrence","0750","Lawrence",8315,467,0,0
"G0500770","1880","Arkansas","050","Lee","0770","Lee",4138,9150,0,0
"G0500790","1880","Arkansas","050","Lincoln","0790","Lincoln",4212,5040,0,3
"G0500810","1880","Arkansas","050","Little River","0810","Little River",3064,3335,0,5
"G0500830","1880","Arkansas","050","Logan","0830","Logan",13901,984,0,0
"G0500850","1880","Arkansas","050","Lonoke","0850","Lonoke",8143,4003,0,0
"G0500870","1880","Arkansas","050","Madison","0870","Madison",11331,124,0,0
"G0500890","1880","Arkansas","050","Marion","0890","Marion",7864,43,0,0
"G0500910","1880","Arkansas","050","Miller","0910","Miller",5324,4595,0,0
"G0500930","1880","Arkansas","050","Mississippi","0930","Mississippi",4671,2654,5,2
