GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AVF001,AVF002,AVF003,AVF004,AVF005,AVF006,AVF007,AVF008,AVF009,AVF010,AVF011,AVF012,AV0001,AV0002,AV0003,AV0004,AV0005,AV0006,AV0007,AV0008
"G0100830","1890","Alabama","010","Limestone","0830","Limestone",9002,9963,7253,0,0,0,0,0,0,1,0,0,5966,5991,84,58,67,32,4496,4507
"G0100850","1890","Alabama","010","Lowndes","0850","Lowndes",26985,25528,20633,0,0,0,0,0,0,2,3,0,2256,2227,30,26,18,6,13553,13434
"G0100870","1890","Alabama","010","Macon","0870","Macon",14188,12784,12620,0,0,0,0,0,0,0,0,4,2052,2133,29,26,6,5,6964,7224
"G0100890","1890","Alabama","010","Madison","0890","Madison",18769,19034,15740,0,0,0,0,0,0,5,0,0,9440,9366,195,151,124,69,9119,9655
"G0100910","1890","Alabama","010","Marengo","0910","Marengo",25149,23612,20058,0,0,0,0,0,0,0,1,3,3833,3878,89,93,30,23,12344,12805
"G0100930","1890","Alabama","010","Marion","0930","Marion",578,520,224,0,0,0,0,0,0,0,3,0,5382,5360,14,8,4,1,291,287
"G0100950","1890","Alabama","010","Marshall","0950","Marshall",1279,1496,1367,0,0,0,0,0,0,4,5,0,8906,8663,39,29,13,2,647,636
"G0100970","1890","Alabama","010","Mobile","0970","Mobile",22804,21443,21107,12,4,0,0,0,0,402,19,9,9288,9937,3040,3298,1524,1282,10831,12387
"G0100990","1890","Alabama","010","Monroe","0990","Monroe",10608,9234,7572,0,0,0,0,0,0,3,77,17,4194,4135,21,16,11,2,5154,5457
"G0101010","1890","Alabama","010","Montgomery","1010","Montgomery",41485,38899,31285,4,0,0,0,0,0,1,0,0,6273,6480,614,666,389,260,19781,21709
"G0101030","1890","Alabama","010","Morgan","1030","Morgan",6073,4670,3358,3,0,0,0,0,0,0,0,0,8799,8299,247,280,261,127,2962,3114
"G0101050","1890","Alabama","010","Perry","1050","Perry",22516,23591,17833,0,0,0,0,0,0,4,0,0,3194,3385,88,75,49,21,10988,11532
"G0101070","1890","Alabama","010","Pickens","1070","Pickens",13185,12347,9638,1,0,0,0,0,0,0,0,0,4615,4586,30,37,10,6,6537,6649
"G0101090","1890","Alabama","010","Pike","1090","Pike",9070,6272,4625,0,0,0,0,0,0,4,0,0,7471,7740,48,54,25,11,4539,4535
"G0101110","1890","Alabama","010","Randolph","1110","Randolph",3305,3420,1641,0,0,0,0,0,0,0,0,0,6895,6976,19,19,5,0,1641,1664
