GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AVF001,AVF002,AVF003,AVF004,AVF005,AVF006,AVF007,AVF008,AVF009,AVF010,AVF011,AVF012,AV0001,AV0002,AV0003,AV0004,AV0005,AV0006,AV0007,AV0008
"G1800450","1890","Indiana","180","Fountain","0450","Fountain",31,108,47,0,0,0,0,0,0,0,0,0,9033,8616,611,598,366,303,15,16
"G1800470","1890","Indiana","180","Franklin","0470","Franklin",6,12,24,0,0,0,0,0,0,0,0,0,6045,6231,2266,2284,834,700,3,3
"G1800490","1890","Indiana","180","Fulton","0490","Fulton",21,23,16,0,0,0,0,0,0,0,0,0,7542,7239,780,696,283,185,16,5
"G1800510","1890","Indiana","180","Gibson","0510","Gibson",1239,1027,437,0,0,0,0,0,0,1,3,0,10150,9783,1440,1324,584,399,659,581
"G1800530","1890","Indiana","180","Grant","0530","Grant",866,867,737,2,0,0,0,0,0,48,0,0,14708,13822,716,655,458,218,513,403
"G1800550","1890","Indiana","180","Greene","0550","Greene",169,250,21,0,0,0,0,0,0,0,7,0,11572,11361,478,460,212,127,91,78
"G1800570","1890","Indiana","180","Hamilton","0570","Hamilton",560,762,515,1,0,0,0,0,0,3,0,0,12395,11940,480,443,177,124,298,266
"G1800590","1890","Indiana","180","Hancock","0590","Hancock",92,101,54,1,0,0,0,0,0,0,0,0,8285,7987,562,487,238,177,44,49
"G1800610","1890","Indiana","180","Harrison","0610","Harrison",330,350,349,1,0,0,0,0,0,0,0,0,8670,8483,1315,1218,441,328,166,165
"G1800630","1890","Indiana","180","Hendricks","0630","Hendricks",398,402,182,1,0,0,0,0,0,0,2,0,10192,9734,452,391,201,129,251,148
"G1800650","1890","Indiana","180","Henry","0650","Henry",544,679,441,0,0,0,0,0,0,10,5,0,11214,11114,372,367,149,109,262,292
"G1800670","1890","Indiana","180","Howard","0670","Howard",506,404,304,2,0,0,0,0,0,0,0,0,12047,11376,748,742,464,301,276,232
"G1800690","1890","Indiana","180","Huntington","0690","Huntington",21,7,5,3,0,0,0,0,0,1,10,3,11587,11167,1790,1733,759,583,15,10
"G1800710","1890","Indiana","180","Jackson","0710","Jackson",270,344,164,1,0,0,0,0,0,0,0,0,9462,9550,1781,1858,692,525,128,143
"G1800730","1890","Indiana","180","Jasper","0730","Jasper",3,0,3,0,0,0,0,0,0,0,0,0,4435,4227,846,801,500,373,2,1
"G1800750","1890","Indiana","180","Jay","0750","Jay",120,155,21,0,0,0,0,0,0,0,0,0,10863,10366,832,730,318,249,64,56
"G1800770","1890","Indiana","180","Jefferson","0770","Jefferson",999,944,1105,0,0,0,0,0,0,2,3,0,8695,8943,2096,2148,806,818,503,498
"G1800790","1890","Indiana","180","Jennings","0790","Jennings",294,408,422,0,0,0,0,0,0,1,0,0,5627,5620,1166,1016,479,405,151,144
"G1800810","1890","Indiana","180","Johnson","0810","Johnson",342,355,115,0,0,0,0,0,0,0,0,0,9208,9111,324,353,125,98,173,169
"G1800830","1890","Indiana","180","Knox","0830","Knox",588,629,380,2,0,0,0,0,0,0,1,0,10916,10487,2130,2189,924,808,280,310
"G1800850","1890","Indiana","180","Kosciusko","0850","Kosciusko",62,49,10,3,0,0,0,0,0,0,0,0,13242,12934,985,845,346,228,33,32
"G1800870","1890","Indiana","180","Lagrange","0870","Lagrange",8,15,25,0,0,0,0,0,0,0,0,0,7025,6734,717,618,290,223,6,2
"G1800890","1890","Indiana","180","Lake","0890","Lake",23,2,3,2,0,0,0,0,0,0,0,0,4782,3682,4402,4122,4133,2740,15,10
"G1800910","1890","Indiana","180","LaPorte","0910","Laporte",217,249,228,4,0,0,0,0,0,0,5,0,7894,7306,5804,5495,4146,3579,154,67
"G1800930","1890","Indiana","180","Lawrence","0930","Lawrence",377,335,250,0,0,0,0,0,0,1,0,0,9234,9080,359,327,281,133,217,161
"G1800950","1890","Indiana","180","Madison","0950","Madison",226,126,88,0,0,0,0,0,0,0,0,0,17375,15722,1113,1053,635,363,151,75
"G1800970","1890","Indiana","180","Marion","0970","Marion",11118,8038,3938,10,14,0,1,0,0,10,1,4,41143,41359,14656,15284,9301,8274,5645,5494
"G1800990","1890","Indiana","180","Marshall","0990","Marshall",5,9,0,0,0,0,0,0,0,0,0,0,9900,9657,1520,1491,701,544,3,2
"G1801010","1890","Indiana","180","Martin","1010","Martin",23,22,36,0,0,0,0,0,0,0,0,0,6708,6460,299,298,104,81,12,11
"G1801030","1890","Indiana","180","Miami","1030","Miami",112,135,51,2,1,0,0,0,0,97,109,145,10978,10640,1384,1326,734,550,120,91
"G1801050","1890","Indiana","180","Monroe","1050","Monroe",408,345,259,1,0,0,0,0,0,0,0,0,8301,8094,314,310,149,96,209,200
"G1801070","1890","Indiana","180","Montgomery","1070","Montgomery",357,427,167,2,1,0,2,0,0,3,3,0,12961,12672,718,684,356,270,180,184
"G1801090","1890","Indiana","180","Morgan","1090","Morgan",114,150,74,1,0,0,0,0,0,0,0,0,8892,8767,345,314,133,77,63,52
"G1801110","1890","Indiana","180","Newton","1110","Newton",44,86,33,0,0,0,0,0,0,0,0,0,3305,3070,809,745,483,347,26,18
"G1801130","1890","Indiana","180","Noble","1130","Noble",10,47,13,1,0,0,0,0,0,1,0,0,9564,9238,1541,1622,767,615,8,4
"G1801150","1890","Indiana","180","Ohio","1150","Ohio",154,205,189,0,0,0,0,0,0,0,0,0,1888,1888,397,382,142,104,76,78
"G1801170","1890","Indiana","180","Orange","1170","Orange",70,149,159,0,0,0,0,0,0,0,4,0,7207,7178,95,85,28,15,37,33
"G1801190","1890","Indiana","180","Owen","1190","Owen",83,127,59,0,0,0,0,0,0,0,0,0,6913,6893,411,430,193,117,40,43
"G1801210","1890","Indiana","180","Parke","1210","Parke",356,288,152,0,0,0,1,0,0,0,2,0,9210,8840,594,542,445,308,186,171
"G1801230","1890","Indiana","180","Perry","1230","Perry",253,208,150,0,0,0,0,0,0,0,0,0,5882,5773,2252,2221,953,906,132,121
"G1801250","1890","Indiana","180","Pike","1250","Pike",56,27,14,1,0,0,0,0,0,0,0,0,8545,8432,584,543,237,146,30,27
"G1801270","1890","Indiana","180","Porter","1270","Porter",11,33,39,2,0,0,0,0,0,0,0,0,4734,4590,2501,2452,2117,1645,11,2
"G1801290","1890","Indiana","180","Posey","1290","Posey",1193,955,564,1,0,0,0,0,0,0,0,0,7741,7230,1995,1996,770,603,625,569
"G1801310","1890","Indiana","180","Pulaski","1310","Pulaski",9,4,0,0,0,0,0,0,0,0,0,0,4100,3840,1134,997,646,507,5,4
"G1801330","1890","Indiana","180","Putnam","1330","Putnam",357,576,105,1,0,0,0,0,0,0,0,0,10520,10275,372,414,225,171,177,181
"G1801350","1890","Indiana","180","Randolph","1350","Randolph",606,591,617,0,0,0,0,0,0,4,1,0,13180,12632,595,615,268,185,327,283
"G1801370","1890","Indiana","180","Ripley","1370","Ripley",74,157,103,0,0,0,0,0,0,0,0,0,5818,5755,2781,2661,1203,1058,36,38
"G1801390","1890","Indiana","180","Rush","1390","Rush",534,550,463,0,0,0,0,0,0,2,0,1,8514,8316,614,587,273,194,281,255
"G1801410","1890","Indiana","180","St Joseph","1410","St Joseph",340,279,120,3,0,0,0,0,0,1,10,7,11865,11677,5113,4931,4604,3923,171,173
"G1801430","1890","Indiana","180","Scott","1430","Scott",1,10,5,0,0,0,0,0,0,0,0,0,3737,3651,174,165,55,50,1,0
"G1801450","1890","Indiana","180","Shelby","1450","Shelby",313,287,128,1,0,0,0,0,0,0,0,0,11408,10998,1038,1016,383,297,158,156
"G1801470","1890","Indiana","180","Spencer","1470","Spencer",1388,1492,949,1,0,0,0,0,0,0,0,0,7846,7572,2048,1877,782,546,688,701
"G1801490","1890","Indiana","180","Starke","1490","Starke",3,0,0,0,0,0,0,0,0,0,0,0,2583,2400,711,675,530,437,2,1
"G1801510","1890","Indiana","180","Steuben","1510","Steuben",6,8,5,0,0,0,0,0,0,0,0,0,6617,6498,537,498,169,153,3,3
"G1801530","1890","Indiana","180","Sullivan","1530","Sullivan",182,146,105,0,0,0,0,0,0,0,0,0,10383,10040,446,437,229,160,100,82
"G1801550","1890","Indiana","180","Switzerland","1550","Switzerland",135,214,121,0,0,0,0,0,0,0,0,0,5476,5566,518,503,173,143,73,62
"G1801570","1890","Indiana","180","Tippecanoe","1570","Tippecanoe",352,304,172,2,2,0,0,0,0,0,0,0,11585,11271,3754,3910,2198,2006,185,169
"G1801590","1890","Indiana","180","Tipton","1590","Tipton",19,58,61,2,0,0,0,0,0,0,3,0,8708,8150,517,432,201,128,11,10
"G1801610","1890","Indiana","180","Union","1610","Union",161,144,112,0,0,0,0,0,0,0,0,0,3050,3022,273,277,113,110,88,73
"G1801630","1890","Indiana","180","Vanderburgh","1630","Vanderburgh",6080,3843,2151,3,3,0,13,0,0,2,2,0,12381,12030,10076,10797,4505,3922,3293,2805
"G1801650","1890","Indiana","180","Vermillion","1650","Vermillion",47,74,48,0,0,0,0,0,0,0,0,0,6259,5915,310,276,233,114,23,24
"G1801670","1890","Indiana","180","Vigo","1670","Vigo",1720,1506,1099,1,2,0,0,0,0,0,1,3,18075,17937,3881,4176,2402,2003,940,781
"G1801690","1890","Indiana","180","Wabash","1690","Wabash",141,254,84,3,0,0,0,0,0,94,16,47,12042,11753,1198,1077,487,331,126,112
"G1801710","1890","Indiana","180","Warren","1710","Warren",15,19,22,0,0,0,0,0,0,6,0,1,4974,4813,432,363,209,143,10,11
"G1801730","1890","Indiana","180","Warrick","1730","Warrick",614,619,487,0,0,0,0,0,0,0,0,0,8259,8216,1542,1506,584,440,324,290
"G1801750","1890","Indiana","180","Washington","1750","Washington",9,3,18,0,0,0,0,0,0,1,0,0,8862,8895,355,302,122,73,6,4
"G1801770","1890","Indiana","180","Wayne","1770","Wayne",1370,1710,1238,3,2,0,0,0,0,1,1,0,13755,14322,2737,2853,1350,1237,678,696
"G1801790","1890","Indiana","180","Wells","1790","Wells",3,5,0,0,0,0,0,0,0,0,0,0,9809,9549,843,746,324,240,2,1
"G1801810","1890","Indiana","180","White","1810","White",9,6,3,0,0,0,0,0,0,0,0,0,6672,6356,962,869,476,327,6,3
"G1801830","1890","Indiana","180","Whitley","1830","Whitley",51,108,97,1,0,0,0,0,0,0,0,0,7762,7463,942,925,373,251,29,23
"G1900010","1890","Iowa","190","Adair","0010","Adair",22,8,1,0,0,0,0,0,0,0,0,0,5301,4948,1497,1369,803,594,12,10
"G1900030","1890","Iowa","190","Adams","0030","Adams",45,89,24,0,0,0,0,0,0,0,0,0,4563,4225,1240,1146,615,458,24,21
"G1900050","1890","Iowa","190","Allamakee","0050","Allamakee",12,38,8,0,0,0,0,0,0,0,0,0,2549,2466,4257,3998,2489,2136,8,4
"G1900070","1890","Iowa","190","Appanoose","0070","Appanoose",145,74,35,0,0,0,0,0,0,0,0,0,8148,7930,840,790,657,451,76,69
"G1900090","1890","Iowa","190","Audubon","0090","Audubon",0,3,1,0,0,0,0,0,0,0,0,0,3592,3321,1544,1610,1365,980,0,0
"G1900110","1890","Iowa","190","Benton","0110","Benton",23,20,24,0,0,0,0,0,0,0,0,0,6893,6536,3348,3299,2241,1838,12,11
"G1900130","1890","Iowa","190","Black Hawk","0130","Black Hawk",12,37,18,1,0,0,0,0,0,0,0,0,6571,6470,3540,3523,2205,1897,7,6
"G1900150","1890","Iowa","190","Boone","0150","Boone",93,251,11,1,2,0,0,0,0,0,0,1,6315,5902,3359,3217,2591,2294,49,45
"G1900170","1890","Iowa","190","Bremer","0170","Bremer",7,6,17,0,0,0,0,0,0,0,1,1,3065,3101,2846,2652,1629,1330,4,3
"G1900190","1890","Iowa","190","Buchanan","0190","Buchanan",20,29,9,0,0,0,0,0,0,1,0,0,5698,5348,2585,2511,1521,1313,11,10
"G1900210","1890","Iowa","190","Buena Vista","0210","Buena Vista",16,1,0,0,0,0,0,0,0,0,0,0,2721,2481,2435,2348,1990,1557,8,8
"G1900230","1890","Iowa","190","Butler","0230","Butler",1,31,0,0,0,0,0,0,0,0,0,0,4114,3857,2302,2170,1671,1348,1,0
"G1900250","1890","Iowa","190","Calhoun","0250","Calhoun",0,2,0,0,0,0,0,0,0,0,0,0,4339,3813,1573,1421,1114,847,0,0
"G1900270","1890","Iowa","190","Carroll","0270","Carroll",29,10,0,0,0,0,0,0,0,0,0,0,3803,3595,3440,3481,2656,1824,22,7
"G1900290","1890","Iowa","190","Cass","0290","Cass",12,21,5,2,0,0,0,0,0,0,0,0,6645,6209,2128,2084,1461,1104,12,2
"G1900310","1890","Iowa","190","Cedar","0310","Cedar",37,53,42,0,0,0,0,0,0,1,4,0,5565,5306,2177,2176,1703,1288,22,16
"G1900330","1890","Iowa","190","Cerro Gordo","0330","Cerro Gordo",9,23,4,0,0,0,0,0,0,0,0,0,4117,3644,2301,2246,1423,1124,7,2
"G1900350","1890","Iowa","190","Cherokee","0350","Cherokee",5,2,6,0,0,0,0,0,0,0,0,0,4497,3991,2207,2162,1642,1155,2,3
"G1900370","1890","Iowa","190","Chickasaw","0370","Chickasaw",0,0,3,1,0,0,0,0,0,0,0,0,3361,3230,2863,2753,1538,1273,1,0
"G1900390","1890","Iowa","190","Clarke","0390","Clarke",61,58,26,0,0,0,0,0,0,0,0,0,5012,4851,527,515,212,154,31,30
"G1900410","1890","Iowa","190","Clay","0410","Clay",0,2,0,0,0,0,0,0,0,0,0,0,2663,2440,1341,1167,991,707,0,0
"G1900430","1890","Iowa","190","Clayton","0430","Clayton",11,1,26,0,0,0,0,0,0,0,0,1,5057,4885,5516,5370,3145,2749,8,3
"G1900450","1890","Iowa","190","Clinton","0450","Clinton",209,187,129,1,2,0,0,0,0,8,1,2,6665,6528,7785,7868,6515,5620,110,108
"G1900470","1890","Iowa","190","Crawford","0470","Crawford",15,23,1,0,0,0,0,0,0,0,0,0,3191,2985,3658,3505,3156,2384,10,5
"G1900490","1890","Iowa","190","Dallas","0490","Dallas",37,53,25,1,1,0,0,0,0,0,0,0,8282,7789,1531,1407,802,630,23,15
"G1900510","1890","Iowa","190","Davis","0510","Davis",60,60,30,0,0,0,0,0,0,0,4,0,6792,6751,582,564,283,226,32,28
"G1900530","1890","Iowa","190","Decatur","0530","Decatur",56,129,41,0,0,0,0,0,0,0,0,0,6939,6749,696,674,311,218,31,25
"G1900550","1890","Iowa","190","Delaware","0550","Delaware",2,2,21,1,0,0,0,0,0,0,0,0,4432,4296,2844,2766,1659,1349,3,0
"G1900570","1890","Iowa","190","Des Moines","0570","Des Moines",381,425,227,3,0,0,0,0,0,0,0,0,7327,7308,6067,6308,4225,3705,199,185
"G1900590","1890","Iowa","190","Dickinson","0590","Dickinson",1,1,0,0,0,0,0,0,0,0,0,0,1315,1171,611,584,376,270,1,0
"G1900610","1890","Iowa","190","Dubuque","0610","Dubuque",133,156,167,3,2,0,0,0,0,0,1,0,6943,6838,11531,12092,6693,5615,78,58
"G1900630","1890","Iowa","190","Emmet","0630","Emmet",4,3,3,0,0,0,0,0,0,0,0,0,754,651,931,791,644,499,3,1
"G1900650","1890","Iowa","190","Fayette","0650","Fayette",75,122,70,0,0,0,0,0,0,0,0,0,6731,6341,3402,3278,1796,1518,42,33
"G1900670","1890","Iowa","190","Floyd","0670","Floyd",4,5,3,1,0,0,0,0,0,0,0,0,3915,3880,2416,2299,1569,1340,3,2
"G1900690","1890","Iowa","190","Franklin","0690","Franklin",0,12,5,0,0,0,0,0,0,0,0,0,2942,2680,2274,2203,1555,1217,0,0
"G1900710","1890","Iowa","190","Fremont","0710","Fremont",43,59,29,0,0,0,0,0,0,0,5,1,7410,6597,991,935,499,367,23,20
"G1900730","1890","Iowa","190","Greene","0730","Greene",11,16,3,0,0,0,0,0,0,0,0,0,5236,4969,1872,1857,1060,792,7,4
"G1900750","1890","Iowa","190","Grundy","0750","Grundy",15,0,0,0,0,0,0,0,0,0,0,0,2503,2302,2390,2368,2065,1572,11,4
"G1900770","1890","Iowa","190","Guthrie","0770","Guthrie",29,2,5,0,0,0,0,0,0,0,0,0,7188,6558,1292,1189,655,469,15,14
"G1900790","1890","Iowa","190","Hamilton","0790","Hamilton",19,1,3,1,0,0,0,0,0,0,0,0,3173,3196,2739,2560,2019,1612,11,9
"G1900810","1890","Iowa","190","Hancock","0810","Hancock",2,0,5,0,0,0,0,0,0,0,0,0,1487,1354,1475,1307,1147,849,2,0
"G1900830","1890","Iowa","190","Hardin","0830","Hardin",80,111,23,1,0,0,0,0,0,0,0,10,5981,5462,2203,2179,1679,1418,65,16
"G1900850","1890","Iowa","190","Harrison","0850","Harrison",26,13,1,1,0,0,0,0,0,1,4,0,8073,7398,1879,1913,1177,888,14,14
"G1900870","1890","Iowa","190","Henry","0870","Henry",411,509,465,1,0,0,0,0,0,0,0,18,6779,7000,1487,1457,969,791,196,216
"G1900890","1890","Iowa","190","Howard","0890","Howard",10,19,12,0,1,0,0,0,0,0,0,0,2291,2144,2216,2157,1326,1038,6,4
"G1900910","1890","Iowa","190","Humboldt","0910","Humboldt",4,2,0,0,0,0,0,0,0,0,0,0,2070,1932,1753,1679,1409,989,3,1
"G1900930","1890","Iowa","190","Ida","0930","Ida",1,0,0,0,0,0,0,0,0,0,0,0,2638,2334,1672,1533,1485,1042,1,0
"G1900950","1890","Iowa","190","Iowa","0950","Iowa",2,15,11,0,0,0,0,0,0,0,0,0,4323,4291,3018,2938,2101,1597,1,1
"G1900970","1890","Iowa","190","Jackson","0970","Jackson",13,9,25,0,0,0,0,0,0,0,0,0,5173,4962,4143,4154,2403,1923,6,7
"G1900990","1890","Iowa","190","Jasper","0990","Jasper",104,121,69,0,0,0,0,0,0,0,0,0,8861,8549,2404,2247,1586,1192,51,53
"G1901010","1890","Iowa","190","Jefferson","1010","Jefferson",57,72,53,2,0,0,0,0,0,0,0,0,5653,5554,1259,1279,751,629,30,29
"G1901030","1890","Iowa","190","Johnson","1030","Johnson",58,105,98,0,1,0,0,0,0,0,0,0,5373,5313,3930,3834,2432,2142,29,29
"G1901050","1890","Iowa","190","Jones","1050","Jones",34,35,32,0,0,0,0,0,0,0,0,0,5861,5480,2791,2614,1918,1535,20,14
"G1901070","1890","Iowa","190","Keokuk","1070","Keokuk",24,15,3,0,0,0,0,0,0,0,0,0,8072,8099,2483,2343,1611,1230,12,12
"G1901090","1890","Iowa","190","Kossuth","1090","Kossuth",12,1,0,0,0,0,0,0,0,0,0,0,2841,2522,2449,2241,1718,1337,7,5
"G1901110","1890","Iowa","190","Lee","1110","Lee",1666,1679,1563,4,1,0,0,0,0,1,1,0,9698,9132,5643,5868,3055,2648,832,839
"G1901130","1890","Iowa","190","Linn","1130","Linn",234,207,48,0,3,0,0,0,0,0,0,0,13931,13609,5086,5315,3669,3459,131,103
"G1901150","1890","Iowa","190","Louisa","1150","Louisa",25,65,59,0,0,0,0,0,0,0,0,0,4763,4528,919,882,428,328,13,12
"G1901170","1890","Iowa","190","Lucas","1170","Lucas",319,40,31,0,0,0,0,0,0,1,0,0,5179,5093,1162,1067,971,771,174,146
"G1901190","1890","Iowa","190","Lyon","1190","Lyon",0,0,0,0,0,0,0,0,0,0,0,0,1777,1513,1600,1534,1366,890,0,0
"G1901210","1890","Iowa","190","Madison","1210","Madison",11,10,3,0,0,0,0,0,0,0,2,0,6902,6551,926,857,433,297,6,5
"G1901230","1890","Iowa","190","Mahaska","1230","Mahaska",1592,524,150,2,0,0,0,0,0,0,0,0,10012,9675,2202,2155,1800,1367,866,728
"G1901250","1890","Iowa","190","Marion","1250","Marion",38,44,36,0,0,0,0,0,0,6,0,0,8068,7885,2218,2265,1413,1165,26,18
"G1901270","1890","Iowa","190","Marshall","1270","Marshall",136,97,37,1,1,3,0,0,0,7,27,0,8475,7829,2743,2777,2171,1703,78,66
"G1901290","1890","Iowa","190","Mills","1290","Mills",21,24,5,0,0,0,0,0,0,0,0,0,5943,5383,1048,953,695,505,14,7
"G1901310","1890","Iowa","190","Mitchell","1310","Mitchell",8,5,1,0,0,0,0,0,0,0,0,0,2726,2679,2574,2584,1503,1225,4,4
"G1901330","1890","Iowa","190","Monona","1330","Monona",23,88,42,0,0,0,0,0,0,6,0,0,5156,4444,1484,1343,1164,895,20,9
"G1901350","1890","Iowa","190","Monroe","1350","Monroe",202,258,49,0,0,0,0,0,0,1,0,0,4832,4730,1317,1213,792,579,118,85
"G1901370","1890","Iowa","190","Montgomery","1370","Montgomery",38,113,13,0,0,0,0,0,0,0,0,0,5202,4892,1664,1630,1344,1078,27,11
"G1901390","1890","Iowa","190","Muscatine","1390","Muscatine",177,179,163,1,0,0,0,0,0,0,0,0,6289,6113,3701,3787,2486,1950,90,88
"G1901410","1890","Iowa","190","O Brien","1410","O Brien",1,13,6,0,0,0,0,0,0,0,0,0,3463,3086,2058,1857,1529,1066,1,0
"G1901430","1890","Iowa","190","Osceola","1430","Osceola",0,0,0,0,0,0,0,0,0,0,0,0,1395,1163,968,861,678,509,0,0
"G1901450","1890","Iowa","190","Page","1450","Page",234,247,153,1,0,0,0,0,0,0,0,0,7902,7391,1852,1734,1301,926,115,120
"G1901470","1890","Iowa","190","Palo Alto","1470","Palo Alto",8,0,0,0,0,0,0,0,0,0,0,0,1867,1654,1851,1809,1256,873,2,6
"G1901490","1890","Iowa","190","Plymouth","1490","Plymouth",9,5,0,1,0,0,0,0,0,0,0,0,3447,2977,4122,3728,3104,2180,6,4
"G1901510","1890","Iowa","190","Pocahontas","1510","Pocahontas",0,0,0,0,0,0,0,0,0,0,0,0,2244,1932,1629,1587,1246,915,0,0
"G1901530","1890","Iowa","190","Polk","1530","Polk",1194,672,303,2,9,0,0,0,0,3,0,0,21398,20548,6363,6534,4993,4375,633,566
"G1901550","1890","Iowa","190","Pottawattamie","1550","Pottawattamie",327,614,163,3,3,0,0,0,0,2,2,5,13947,12129,6142,5764,5194,3922,203,129
"G1901570","1890","Iowa","190","Poweshiek","1570","Poweshiek",66,62,79,0,0,0,1,0,0,0,0,0,6489,6122,1886,1862,1102,866,34,33
"G1901590","1890","Iowa","190","Ringgold","1590","Ringgold",0,15,5,0,0,0,0,0,0,0,0,0,6064,5709,729,595,265,194,0,0
"G1901610","1890","Iowa","190","Sac","1610","Sac",0,0,1,0,0,0,0,0,0,0,0,0,3602,3324,2379,2210,1767,1240,0,0
"G1901630","1890","Iowa","190","Scott","1630","Scott",274,266,246,6,0,0,0,0,0,0,0,0,5759,5811,8879,9234,7051,6150,138,142
"G1901650","1890","Iowa","190","Shelby","1650","Shelby",1,13,6,0,0,0,0,0,0,0,0,0,4460,4055,2773,2502,2241,1579,0,1
"G1901670","1890","Iowa","190","Sioux","1670","Sioux",0,1,0,0,0,0,0,0,0,0,0,0,2749,2447,3599,3355,3627,2593,0,0
"G1901690","1890","Iowa","190","Story","1690","Story",0,9,2,0,0,0,0,0,0,0,0,0,5314,5086,2374,2175,1766,1412,0,0
"G1901710","1890","Iowa","190","Tama","1710","Tama",45,32,45,2,0,0,0,0,0,0,380,0,5836,5558,3089,2954,2342,1825,26,21
"G1901730","1890","Iowa","190","Taylor","1730","Taylor",96,130,101,0,0,0,0,0,0,0,0,0,6991,6585,973,961,445,333,50,46
"G1901750","1890","Iowa","190","Union","1750","Union",68,90,13,1,2,0,0,0,0,0,0,0,6331,5984,1467,1452,872,725,35,34
"G1901770","1890","Iowa","190","Van Buren","1770","Van Buren",130,123,211,0,0,0,0,0,0,0,0,0,6952,6735,872,869,402,293,58,72
"G1901790","1890","Iowa","190","Wapello","1790","Wapello",658,460,193,2,2,0,0,0,0,0,0,0,10595,10232,2837,2752,1872,1478,348,312
"G1901810","1890","Iowa","190","Warren","1810","Warren",54,63,81,0,0,0,0,0,0,0,0,0,7825,7603,1093,865,479,350,32,22
"G1901830","1890","Iowa","190","Washington","1830","Washington",75,95,53,0,0,0,0,0,0,0,0,0,6789,6720,1697,1712,819,656,39,36
"G1901850","1890","Iowa","190","Wayne","1850","Wayne",20,22,1,0,0,0,0,0,0,6,0,0,7060,6901,640,597,271,175,16,10
"G1901870","1890","Iowa","190","Webster","1870","Webster",43,8,9,2,0,0,0,0,0,0,0,0,4017,3809,4230,3922,3026,2533,25,20
"G1901890","1890","Iowa","190","Winnebago","1890","Winnebago",0,1,1,0,0,0,0,0,0,0,0,0,654,594,1922,1838,1252,1065,0,0
"G1901910","1890","Iowa","190","Winneshiek","1910","Winneshiek",10,13,25,1,0,0,0,0,0,16,4,0,2769,2623,5547,5333,3289,2940,16,11
"G1901930","1890","Iowa","190","Woodbury","1930","Woodbury",366,178,44,14,3,0,0,0,0,0,30,9,17178,12993,7101,6405,6722,4853,258,122
"G1901950","1890","Iowa","190","Worth","1950","Worth",22,9,0,0,0,0,0,0,0,0,0,0,910,751,2327,2269,1625,1343,11,11
"G1901970","1890","Iowa","190","Wright","1970","Wright",2,0,2,0,0,0,0,0,0,0,0,0,3233,2861,1947,1817,1294,903,1,1
"G2000010","1890","Kansas","200","Allen","0010","Allen",394,350,152,0,0,0,0,0,0,0,1,1,5465,5010,928,797,509,406,199,195
"G2000030","1890","Kansas","200","Anderson","0030","Anderson",288,186,112,1,0,0,0,0,0,0,0,0,5804,5405,970,905,486,344,151,138
"G2000050","1890","Kansas","200","Atchison","0050","Atchison",3001,3410,1136,2,3,0,0,0,0,7,18,3,7879,7261,2784,2638,1771,1415,1452,1558
"G2000070","1890","Kansas","200","Barber","0070","Barber",30,8,0,0,0,0,0,0,0,1,1,0,3633,3144,403,369,229,164,18,13
"G2000090","1890","Kansas","200","Barton","0090","Barton",329,296,0,0,0,0,0,0,0,0,0,0,3519,3211,1810,1756,1417,1130,168,161
"G2000110","1890","Kansas","200","Bourbon","0110","Bourbon",2272,1716,770,0,0,0,0,0,0,5,9,9,11215,10871,1458,1440,789,525,1140,1137
"G2000130","1890","Kansas","200","Brown","0130","Brown",422,263,95,3,0,0,0,0,0,0,0,7,7871,6930,1706,1610,1075,702,213,212
"G2000150","1890","Kansas","200","Butler","0150","Butler",105,59,30,0,0,0,0,0,0,1,0,3,10468,9507,1384,1177,820,593,65,41
"G2000170","1890","Kansas","200","Chase","0170","Chase",178,119,6,0,0,0,0,0,0,1,0,0,3182,2740,705,607,493,327,100,79
"G2000190","1890","Kansas","200","Chautauqua","0190","Chautauqua",224,144,0,0,0,0,1,0,0,0,13,0,5879,5219,365,377,159,73,114,111
"G2000210","1890","Kansas","200","Cherokee","0210","Cherokee",1342,1861,134,0,0,0,0,0,0,7,13,5,10929,10109,1588,1530,1353,912,711,638
"G2000230","1890","Kansas","200","Cheyenne","0230","Cheyenne",0,0,0,0,0,0,0,0,0,0,0,0,1665,1445,408,343,321,219,0,0
"G2000250","1890","Kansas","200","Clark","0250","Clark",6,4,0,0,0,0,0,0,0,0,0,0,1096,944,131,109,45,26,5,1
"G2000270","1890","Kansas","200","Clay","0270","Clay",207,119,10,0,0,0,0,0,0,0,1,0,4558,4342,2154,2094,1587,1204,110,97
"G2000290","1890","Kansas","200","Cloud","0290","Cloud",34,41,7,2,0,0,0,0,0,0,0,0,6372,5837,2345,2291,1322,1092,22,14
"G2000310","1890","Kansas","200","Coffey","0310","Coffey",189,433,156,0,0,0,0,0,0,0,1,0,6732,6223,965,905,485,357,96,93
"G2000330","1890","Kansas","200","Comanche","0330","Comanche",32,3,0,1,0,0,0,0,0,0,0,0,1171,1008,135,116,56,30,17,16
"G2000350","1890","Kansas","200","Cowley","0350","Cowley",622,221,0,3,0,0,1,0,0,3,1,0,15739,14038,1517,1378,715,462,325,304
"G2000370","1890","Kansas","200","Crawford","0370","Crawford",426,100,2,0,0,0,0,0,0,1,2,0,11207,10343,2466,2360,2087,1396,233,194
"G2000390","1890","Kansas","200","Decatur","0390","Decatur",10,1,0,1,0,0,0,0,0,0,0,0,3254,3025,649,635,465,375,5,6
