pane,Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208,mfr
P1,1,1,1.43,100440,23960,2914,1192.4,67180,179.6,18.17,674,1.92,33.53,47.97,11.83,4.52,9.76,3.83,1.26,1.09,M1
P1,1,2,1.28,100200,23940,2894,1193.2,67060,178.8,17.93,675,1.98,33.62,47.77,11.59,4.57,9.86,3.89,1.237,1.005,M1
P1,1,3,1.54,100800,23990,2891,1201.9,66630,174.8,18.21,666,2.02,33.28,45.07,11.33,4.62,9.83,3.91,1.188,1.059,M1
P1,1,4,1.69,100530,23790,2882,1198,66410,174.9,18.11,680,2.11,33.44,44.5,11.63,4.38,9.89,3.52,1.183,1.061,M1
P1,1,5,1.85,100470,24080,2908,1201,66910,181.6,18.12,672,2.04,34.07,47.8,11.67,4.53,9.87,3.95,1.27,1.053,M1
P1,2,1,1.46,99750,24150,2953,1195.1,67730,175,18.26,687,2.04,34.11,49.7,11.63,4.57,9.81,3.7,1.34,1.072,M1
P1,2,2,1.79,99230,23960,2939,1199.6,68030,172.7,18.72,674,2,33.77,50.6,11.63,4.58,9.76,3.78,1.34,1.058,M1
P1,2,3,1.68,100690,24310,2913,1213.1,67800,176.2,18.03,677,2.01,33.88,49.21,11.44,4.56,9.59,3.88,1.32,1.024,M1
P1,2,4,1.55,100890,24030,2914,1230.9,68010,178,18.05,669,2.12,34.05,49.5,11.76,4.57,9.87,3.76,1.33,1.075,M1
P1,2,5,1.64,100410,24030,2925,1216.2,68060,178.2,18.45,677,2.12,33.51,50.35,11.9,4.55,9.91,3.95,1.32,0.999,M1
P1,2,6,1.46,100320,24040,2920,1217.1,67650,180,18.2,669,2.06,33.75,50.8,11.34,4.59,9.82,3.74,1.285,1.045,M1
P1,2,7,1.55,100960,23930,2907,1228.1,68290,181.6,18.48,698,2.15,34.02,50.7,12.16,4.72,9.83,3.9,1.256,1.066,M1
P1,2,8,1.93,100590,23860,2884,1237.3,67570,180.1,18.27,669,2.05,33.42,50.6,12,4.59,9.7,3.86,1.302,1.038,M1
P1,2,9,1.91,100950,23810,2895,1221.8,67030,175.5,18.02,681,2.13,33.74,49.1,12.08,4.57,9.96,3.75,1.325,1.092,M1
