GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AK3001,AK3002,AK3003,AK3004
"G0500290","1870","Arkansas","050","Conway","0290","Conway",7482,630,0,0
"G0500310","1870","Arkansas","050","Craighead","0310","Craighead",4324,253,0,0
"G0500330","1870","Arkansas","050","Crawford","0330","Crawford",7961,988,0,8
"G0500350","1870","Arkansas","050","Crittenden","0350","Crittenden",1253,2575,0,3
"G0500370","1870","Arkansas","050","Cross","0370","Cross",2626,1289,0,0
"G0500390","1870","Arkansas","050","Dallas","0390","Dallas",3956,1751,0,0
"G0500410","1870","Arkansas","050","Desha","0410","Desha",2185,3934,5,1
"G0500430","1870","Arkansas","050","Drew","0430","Drew",6106,3854,0,0
"G0500470","1870","Arkansas","050","Franklin","0470","Franklin",8976,651,0,0
"G0500490","1870","Arkansas","050","Fulton","0490","Fulton",4758,85,0,0
"G0500530","1870","Arkansas","050","Grant","0530","Grant",3604,339,0,0
"G0500550","1870","Arkansas","050","Greene","0550","Greene",7417,156,0,0
"G0500570","1870","Arkansas","050","Hempstead","0570","Hempstead",7439,6329,0,0
"G0500590","1870","Arkansas","050","Hot Spring","0590","Hot Spring",5226,650,0,1
"G0500630","1870","Arkansas","050","Independence","0630","Independence",13658,908,0,0
"G0500650","1870","Arkansas","050","Izard","0650","Izard",6624,182,0,0
"G0500670","1870","Arkansas","050","Jackson","0670","Jackson",5656,1612,0,0
"G0500690","1870","Arkansas","050","Jefferson","0690","Jefferson",5556,10167,10,0
"G0500710","1870","Arkansas","050","Johnson","0710","Johnson",8539,613,0,0
"G0500730","1870","Arkansas","050","Lafayette","0730","Lafayette",3981,5158,0,0
"G0500750","1870","Arkansas","050","Lawrence","0750","Lawrence",5735,246,0,0
"G0500810","1870","Arkansas","050","Little River","0810","Little River",1358,1878,0,0
"G0500870","1870","Arkansas","050","Madison","0870","Madison",8081,150,0,0
"G0500890","1870","Arkansas","050","Marion","0890","Marion",3960,19,0,0
"G0500930","1870","Arkansas","050","Mississippi","0930","Mississippi",2662,971,0,0
"G0500950","1870","Arkansas","050","Monroe","0950","Monroe",5135,3200,0,1
"G0500970","1870","Arkansas","050","Montgomery","0970","Montgomery",2864,120,0,0
"G0501010","1870","Arkansas","050","Newton","1010","Newton",4365,9,0,0
"G0501030","1870","Arkansas","050","Ouachita","1030","Ouachita",7511,5458,0,6
"G0501050","1870","Arkansas","050","Perry","1050","Perry",2395,290,0,0
"G0501070","1870","Arkansas","050","Phillips","1070","Phillips",4871,10501,0,0
"G0501090","1870","Arkansas","050","Pike","1090","Pike",3367,421,0,0
"G0501110","1870","Arkansas","050","Poinsett","1110","Poinsett",1494,225,0,1
"G0501130","1870","Arkansas","050","Polk","1130","Polk",3323,45,0,8
"G0501150","1870","Arkansas","050","Pope","1150","Pope",7811,575,0,0
"G0501170","1870","Arkansas","050","Prairie","1170","Prairie",3793,1811,0,0
"G0501190","1870","Arkansas","050","Pulaski","1190","Pulaski",18348,13708,4,6
"G0501210","1870","Arkansas","050","Randolph","1210","Randolph",7109,357,0,0
"G0501230","1870","Arkansas","050","St Francis","1230","St Francis",4268,2446,0,0
"G0501250","1870","Arkansas","050","Saline","1250","Saline",3726,185,0,0
"G0501270","1870","Arkansas","050","Scott","1270","Scott",7362,121,0,0
"G0501290","1870","Arkansas","050","Searcy","1290","Searcy",5584,30,0,0
"G0501310","1870","Arkansas","050","Sebastian","1310","Sebastian",11545,1354,0,41
"G0501330","1870","Arkansas","050","Sevier","1330","Sevier",3523,968,0,1
"G0501350","1870","Arkansas","050","Sharp","1350","Sharp",5286,114,0,0
"G0501390","1870","Arkansas","050","Union","1390","Union",5675,4896,0,0
"G0501410","1870","Arkansas","050","Van Buren","1410","Van Buren",4988,119,0,0
"G0501430","1870","Arkansas","050","Washington","1430","Washington",16590,674,0,2
"G0501450","1870","Arkansas","050","White","1450","White",9146,1200,0,1
"G0501470","1870","Arkansas","050","Woodruff","1470","Woodruff",4205,2686,0,0
"G0501490","1870","Arkansas","050","Yell","1490","Yell",7281,767,0,0
"G0600010","1870","California","060","Alameda","0010","Alameda",22106,81,1939,111
"G0600030","1870","California","060","Alpine","0030","Alpine",676,1,8,0
"G0600050","1870","California","060","Amador","0050","Amador",7883,72,1627,0
"G0600070","1870","California","060","Butte","0070","Butte",9197,84,2082,40
"G0600090","1870","California","060","Calaveras","0090","Calaveras",7405,31,1441,18
"G0600110","1870","California","060","Colusa","0110","Colusa",5389,81,271,424
"G0600130","1870","California","060","Contra Costa","0130","Contra Costa",8271,21,160,9
"G0600150","1870","California","060","Del Norte","0150","Del Norte",1009,12,217,784
"G0600170","1870","California","060","El Dorado","0170","El Dorado",8589,132,1582,6
"G0600190","1870","California","060","Fresno","0190","Fresno",3259,15,427,2635
"G0600230","1870","California","060","Humboldt","0230","Humboldt",6025,0,39,76
"G0600270","1870","California","060","Inyo","0270","Inyo",1608,8,29,311
"G0600290","1870","California","060","Kern","0290","Kern",2193,4,143,585
"G0600315","1870","California","060","Klamath","0315","Klamath",1081,2,542,61
"G0600330","1870","California","060","Lake","0330","Lake",2825,2,119,23
"G0600350","1870","California","060","Lassen","0350","Lassen",1309,0,17,1
"G0600370","1870","California","060","Los Angeles","0370","Los Angeles",14720,134,236,219
"G0600410","1870","California","060","Marin","0410","Marin",6394,22,361,126
"G0600430","1870","California","060","Mariposa","0430","Mariposa",3364,90,1084,34
"G0600450","1870","California","060","Mendocino","0450","Mendocino",6865,9,129,542
"G0600470","1870","California","060","Merced","0470","Merced",2548,36,186,37
"G0600510","1870","California","060","Mono","0510","Mono",386,0,42,2
"G0600530","1870","California","060","Monterey","0530","Monterey",9429,16,230,201
"G0600550","1870","California","060","Napa","0550","Napa",6725,109,263,66
"G0600570","1870","California","060","Nevada","0570","Nevada",16334,165,2627,8
"G0600610","1870","California","060","Placer","0610","Placer",8850,95,2410,2
"G0600630","1870","California","060","Plumas","0630","Plumas",3571,2,911,5
"G0600670","1870","California","060","Sacramento","0670","Sacramento",22725,475,3596,34
"G0600710","1870","California","060","San Bernardino","0710","San Bernardino",3964,8,16,0
"G0600730","1870","California","060","San Diego","0730","San Diego",4838,15,70,28
"G0600750","1870","California","060","San Francisco","0750","San Francisco",136059,1330,12030,54
"G0600770","1870","California","060","San Joaquin","0770","San Joaquin",19193,223,1629,5
"G0600790","1870","California","060","San Luis Obispo","0790","San Luis Obispo",4567,9,59,137
"G0600810","1870","California","060","San Mateo","0810","San Mateo",6098,10,519,8
"G0600830","1870","California","060","Santa Barbara","0830","Santa Barbara",7484,38,109,153
"G0600850","1870","California","060","Santa Clara","0850","Santa Clara",24536,173,1525,12
"G0600870","1870","California","060","Santa Cruz","0870","Santa Cruz",8532,53,156,2
"G0600890","1870","California","060","Shasta","0890","Shasta",3529,44,574,26
"G0600910","1870","California","060","Sierra","0910","Sierra",4781,28,810,0
"G0600930","1870","California","060","Siskiyou","0930","Siskiyou",5329,29,1440,50
"G0600950","1870","California","060","Solano","0950","Solano",15870,78,920,3
"G0600970","1870","California","060","Sonoma","0970","Sonoma",19184,77,473,85
