"Year","State","TOTAL.POPULATION","ALL.OTHER.FREE.PERSONS","FREE.COLORED.SLAVEHOLDING.FAMILIES","FREE.COLORED.NONSLAVEHOLDING.FAMILIES","Type","TOTAL.FREE.PERSONS","FREE.COLORED.MALES","FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.PERSONS","TOTAL.FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.MALES","TOTAL.FREE.COLORED.POPULATION"
1820,"MISSISSIPPI",75448,NA,NA,NA,"State",NA,239,219,458,NA,NA,NA
1820,"MISSOURI",66586,NA,NA,NA,"Territory",NA,186,161,347,NA,NA,NA
1820,"NEW HAMPSHIRE",244161,NA,NA,NA,"State",NA,372,414,786,NA,NA,NA
1820,"NEW JERSEY",277575,NA,NA,NA,"State",NA,6416,6044,12460,NA,NA,NA
1820,"NEW YORK",1372812,NA,NA,NA,"State",NA,13458,15821,29279,NA,NA,NA
1820,"NORTH CAROLINA",638829,NA,NA,NA,"State",NA,7395,7217,14612,NA,NA,NA
1820,"OHIO",581434,NA,NA,NA,"State",NA,2454,2269,4723,NA,NA,NA
1820,"PENNSYLVANIA",1549458,NA,NA,NA,"State",NA,14804,15398,30202,NA,NA,NA
1820,"RHODE ISLAND",83059,NA,NA,NA,"State",NA,1587,1967,3554,NA,NA,NA
1820,"SOUTH CAROLINA",490309,NA,NA,NA,"State",NA,3249,3465,6714,NA,NA,NA
1820,"TENNESSEE",422813,NA,NA,NA,"State",NA,1501,1226,2727,NA,NA,NA
1820,"VERMONT",235764,NA,NA,NA,"State",NA,438,465,903,NA,NA,NA
1820,"VIRGINIA",1065379,NA,NA,NA,"State",NA,17849,19040,36889,NA,NA,NA
1830,"ALABAMA",309527,NA,NA,NA,"State",NA,NA,NA,1572,728,844,NA
1830,"ARKANSAS",30388,NA,NA,NA,"Territory",NA,NA,NA,141,53,88,NA
1830,"CONNECTICUT",297675,NA,NA,NA,"State",NA,NA,NA,8047,4197,3850,NA
1830,"DELAWARE",76748,NA,NA,NA,"State",NA,NA,NA,15855,7973,7882,NA
1830,"GEORGIA",516823,NA,NA,NA,"State",NA,NA,NA,2486,1225,1261,NA
1830,"ILLINOIS",157445,NA,NA,NA,"State",NA,NA,NA,1637,813,824,NA
1830,"INDIANA",343031,NA,NA,NA,"State",NA,NA,NA,3629,1772,1857,NA
1830,"KENTUCKY",687917,NA,NA,NA,"State",NA,NA,NA,4917,2265,2652,NA
1830,"LOUISIANA",215529,NA,NA,NA,"State",NA,NA,NA,16710,9480,7230,NA
1830,"MAINE",399455,NA,NA,NA,"State",NA,NA,NA,1190,580,610,NA
1830,"MARYLAND",447040,NA,NA,NA,"State",NA,NA,NA,52938,28032,24906,NA
1830,"MASSACHUSETTS",610408,NA,NA,NA,"State",NA,NA,NA,7048,3690,3358,NA
