"Year","State","TOTAL.POPULATION","SLAVES","Type","FEMALE.SLAVES","MALES.SLAVES","TOTAL.SLAVES","TOTAL.FEMALE.SLAVES","TOTAL.MALE.SLAVES","AGGR..SLAVES"
1830,"GEORGIA",516823,NA,"State",NA,NA,217531,108714,108817,NA
1830,"ILLINOIS",157445,NA,"State",NA,NA,747,400,347,NA
1830,"INDIANA",343031,NA,"State",NA,NA,3,3,0,NA
1830,"KENTUCKY",687917,NA,"State",NA,NA,165213,82904,82309,NA
1830,"LOUISIANA",215529,NA,"State",NA,NA,109588,51677,57911,NA
1830,"MAINE",399455,NA,"State",NA,NA,2,2,0,NA
1830,"MARYLAND",447040,NA,"State",NA,NA,102994,49552,53442,NA
1830,"MASSACHUSETTS",610408,NA,"State",NA,NA,1,1,0,NA
1830,"MICHIGAN",31639,NA,"Territory",NA,NA,32,10,22,NA
1830,"MISSISSIPPI",136621,NA,"State",NA,NA,65659,32560,33099,NA
1830,"MISSOURI",140455,NA,"State",NA,NA,25096,12657,12439,NA
1830,"NEW HAMPSHIRE",269328,NA,"State",NA,NA,3,3,0,NA
1830,"NEW JERSEY",320823,NA,"State",NA,NA,2254,1195,1059,NA
1830,"NEW YORK",1918608,NA,"State",NA,NA,75,62,13,NA
1830,"NORTH CAROLINA",737987,NA,"State",NA,NA,245601,121288,124313,NA
1830,"OHIO",937903,NA,"State",NA,NA,6,5,1,NA
1830,"PENNSYLVANIA",1348233,NA,"State",NA,NA,403,231,172,NA
1830,"RHODE ISLAND",97199,NA,"State",NA,NA,17,14,3,NA
1830,"SOUTH CAROLINA",581185,NA,"State",NA,NA,315401,159932,155469,NA
1830,"TENNESSEE",681904,NA,"State",NA,NA,141603,71387,70216,NA
1830,"VERMONT",280652,NA,"State",NA,NA,0,0,0,NA
1830,"VIRGINIA",1211405,NA,"State",NA,NA,469757,230680,239077,NA
1840,"ALABAMA",590756,NA,"State",NA,NA,253532,126172,127360,NA
1840,"ARKANSAS",97574,NA,"State",NA,NA,19935,9816,10119,NA
1840,"CONNECTICUT",310015,NA,"State",NA,NA,54,12,42,NA
1840,"DELAWARE",78085,NA,"State",NA,NA,2605,1234,1371,NA
1840,"FLORIDA",54477,NA,"Territory",NA,NA,25717,12679,13038,NA
1840,"GEORGIA",691392,NA,"State",NA,NA,280944,141609,139335,NA
1840,"ILLINOIS",476183,NA,"State",NA,NA,331,163,168,NA
1840,"INDIANA",685866,NA,"State",NA,NA,3,2,1,NA
1840,"IOWA",43112,NA,"Territory",NA,NA,16,10,6,NA
1840,"KENTUCKY",779828,NA,"State",NA,NA,182258,91254,91004,NA
1840,"LOUISIANA",352411,NA,"State",NA,NA,168452,81923,86529,NA
1840,"MAINE",501793,NA,"State",NA,NA,0,0,0,NA
1840,"MARYLAND",470019,NA,"State",NA,NA,89737,43536,45959,NA
1840,"MASSACHUSETTS",737699,NA,"State",NA,NA,0,0,0,NA
1840,"MICHIGAN",212267,NA,"State",NA,NA,0,0,0,NA
1840,"MISSISSIPPI",375651,NA,"State",NA,NA,195211,97208,98003,NA
1840,"MISSOURI",383702,NA,"State",NA,NA,58240,29498,28742,NA
1840,"NEW HAMPSHIRE",284574,NA,"State",NA,NA,1,1,0,NA
1840,"NEW JERSEY",373306,NA,"State",NA,NA,674,371,303,NA
1840,"NEW YORK",2428921,NA,"State",NA,NA,4,4,0,NA
1840,"NORTH CAROLINA",753419,NA,"State",NA,NA,245817,122271,123546,NA
1840,"OHIO",1519467,NA,"State",NA,NA,3,1,2,NA
1840,"PENNSYLVANIA",1724033,NA,"State",NA,NA,64,29,35,NA
1840,"RHODE ISLAND",108830,NA,"State",NA,NA,5,4,1,NA
1840,"SOUTH CAROLINA",594398,NA,"State",NA,NA,327038,168360,158678,NA
1840,"TENNESSEE",829210,NA,"State",NA,NA,183059,91582,91477,NA
1840,"VERMONT",291948,NA,"State",NA,NA,0,0,0,NA
1840,"VIRGINIA",1239797,NA,"State",NA,NA,449087,220426,228661,NA
1840,"WISCONSIN",30945,NA,"Territory",NA,NA,11,7,4,NA
